23	23	23	23
23	22	22	22
22	23	23	23
23	23	23	23
23	23	22	22
23	22	23	23
22	23	23	23
23	23	22	23
23	22	23	22
22	23	23	23
23	23	23	23
23	23	22	23
23	22	23	22
22	23	23	23
23	23	23	23
23	22	22	23
23	23	23	22
22	23	23	23
23	22	22	22
23	23	23	23
23	23	23	23
22	23	23	23
23	22	22	22
23	23	23	23
22	23	23	23
23	22	23	23
23	23	22	22
23	23	23	23
22	23	23	23
23	22	22	23
21	21	21	20
19	18	19	19
22	22	22	21
23	23	22	23
22	23	23	23
23	23	23	22
23	22	22	23
22	23	23	22
23	23	23	23
23	23	23	23
23	22	22	23
22	23	23	22
23	23	23	23
23	22	22	22
22	23	23	23
23	23	23	23
23	22	23	23
22	23	22	22
23	22	23	22
22	23	22	23
23	23	23	23
23	23	23	23
23	22	23	22
22	23	22	23
23	23	23	23
23	22	23	22
22	23	22	23
23	23	23	23
23	22	23	22
22	23	22	23
23	23	23	23
23	22	22	22
22	23	23	23
23	23	23	23
23	23	23	22
23	22	22	23
22	23	23	23
23	23	23	23
23	23	23	22
22	22	22	23
23	23	23	23
23	23	23	22
23	22	22	23
22	23	23	23
23	23	23	23
23	23	23	22
23	22	22	23
22	23	23	23
23	23	23	23
23	22	23	22
22	23	22	23
23	23	23	23
23	23	23	23
23	22	22	22
22	23	23	23
23	23	23	23
23	22	23	22
23	23	22	23
22	23	23	23
23	23	23	23
20	18	20	19
22	22	21	21
22	23	23	23
23	22	23	23
23	23	23	22
23	23	22	23
22	23	23	23
23	22	23	23
23	23	23	22
22	23	22	23
23	22	23	23
23	23	23	23
23	23	22	22
22	23	23	23
23	22	23	23
23	23	23	23
23	23	22	22
22	22	23	23
23	23	23	23
23	23	23	22
22	23	22	23
23	22	23	23
23	23	23	23
22	23	22	22
23	23	23	23
23	22	23	23
23	23	23	22
22	23	22	23
23	23	23	23
23	22	23	23
23	23	23	22
22	23	22	23
23	22	23	23
23	23	23	22
22	23	23	23
23	23	22	23
23	22	23	22
22	23	23	23
23	23	22	23
23	22	23	22
22	23	23	23
23	23	22	23
23	22	23	22
22	23	23	23
23	22	22	23
22	23	23	23
23	23	23	22
23	23	23	23
23	22	22	23
22	23	23	23
23	23	23	22
23	23	23	23
23	22	22	23
22	23	23	22
23	23	23	23
23	22	22	23
22	23	23	23
23	23	23	22
23	23	23	23
23	22	22	23
22	23	23	22
