0,9404885768890381
866,70947265625
1038,405517578125
1003,74462890625
0,9403246641159058
949,5626220703125
1087,54541015625
1024,116943359375
0,9402675032615662
949,6109008789062
1087,5460205078125
1024,1170654296875
0,9392945170402527
904,726806640625
1051,1822509765625
1016,8595581054688
0,9392176270484924
904,7923583984375
1051,184326171875
1016,8582153320312
0,9371388554573059
1000,5467529296875
1044,40380859375
1023,5396118164062
0,937079668045044
1000,6010131835938
1044,407470703125
1023,5338134765625
0,9370684623718262
886,2903442382812
1037,32568359375
1009,9305419921875
0,9370079040527344
886,342041015625
1037,3228759765625
1009,9263305664062
0,9251658916473389
935,3548583984375
1011,9514770507812
997,7340087890625
0,9251118302345276
935,4022216796875
1011,9524536132812
997,7326049804688
0,9365285634994507
912,8130493164062
1100,8748779296875
1019,2743530273438
0,9364516139030457
912,8799438476562
1100,8702392578125
1019,2759399414062
0,9333751201629639
936,4148559570312
1037,0181884765625
1020,5994262695312
0,9333145618438721
936,465576171875
1036,99462890625
1022,3800048828125
